,Movie,Rating
0, The Shawshank Redemption,9.3
1, The Godfather,9.2
2, The Dark Knight,9.0
3, The Godfather Part II,9.0
4, 12 Angry Men,9.0
5, Schindler's List,9.0
6, The Lord of the Rings: The Return of the King,9.0
7, Pulp Fiction,8.9
8, The Lord of the Rings: The Fellowship of the Ring,8.9
9," The Good, the Bad and the Ugly",8.8
10, Forrest Gump,8.8
11, The Lord of the Rings: The Two Towers,8.8
12, Fight Club,8.8
13, Inception,8.8
14, Star Wars: Episode V - The Empire Strikes Back,8.7
15, The Matrix,8.7
16, Goodfellas,8.7
17, One Flew Over the Cuckoo's Nest,8.7
18, Interstellar,8.7
19, Se7en,8.6
20, It's a Wonderful Life,8.6
21, Seven Samurai,8.6
22, The Silence of the Lambs,8.6
23, Saving Private Ryan,8.6
24, City of God,8.6
25, Life Is Beautiful,8.6
26, The Green Mile,8.6
27, Terminator 2: Judgment Day,8.6
28, Star Wars: Episode IV - A New Hope,8.6
29, Back to the Future,8.5
30, Spirited Away,8.6
31, The Pianist,8.5
32, Parasite,8.5
33, Psycho,8.5
34, Gladiator,8.5
35, The Lion King,8.5
36, Spider-Man: Across the Spider-Verse,8.6
37, The Departed,8.5
38, Dune: Part Two,8.5
39, Léon: The Professional,8.5
40, American History X,8.5
41, Whiplash,8.5
42, The Prestige,8.5
43, Grave of the Fireflies,8.5
44, Harakiri,8.6
45, The Usual Suspects,8.5
46, Casablanca,8.5
47, The Intouchables,8.5
48, Cinema Paradiso,8.5
49, Modern Times,8.5
50, Rear Window,8.5
51, Once Upon a Time in the West,8.5
52, Alien,8.5
53, City Lights,8.5
54, Django Unchained,8.5
55, Apocalypse Now,8.4
56, Memento,8.4
57, WALL·E,8.4
58, Raiders of the Lost Ark,8.4
59, 12th Fail,8.9
60, The Lives of Others,8.4
61, Sunset Boulevard,8.4
62, Avengers: Infinity War,8.4
63, Paths of Glory,8.4
64, Spider-Man: Into the Spider-Verse,8.4
65, Witness for the Prosecution,8.4
66, The Shining,8.4
67, The Great Dictator,8.4
68, Aliens,8.4
69, Inglourious Basterds,8.4
70, The Dark Knight Rises,8.4
71, Coco,8.4
72, Amadeus,8.4
73, Dr,8.3
74, Oldboy,8.3
75, Toy Story,8.3
76, American Beauty,8.3
77, Avengers: Endgame,8.4
78, Braveheart,8.3
79, Das Boot,8.4
80, Good Will Hunting,8.3
81, Princess Mononoke,8.3
82, Joker,8.4
83, Your Name,8.4
84, High and Low,8.4
85, 3 Idiots,8.4
86, Once Upon a Time in America,8.3
87, Singin' in the Rain,8.3
88, Capernaum,8.4
89, Come and See,8.4
90, Requiem for a Dream,8.3
91, Toy Story 3,8.3
92, Star Wars: Episode VI - Return of the Jedi,8.3
93, Eternal Sunshine of the Spotless Mind,8.3
94, The Hunt,8.3
95, 2001: A Space Odyssey,8.3
96, Ikiru,8.3
97, Reservoir Dogs,8.3
98, Lawrence of Arabia,8.3
99, The Apartment,8.3
100, Incendies,8.3
101, Oppenheimer,8.3
102, North by Northwest,8.3
103, Scarface,8.3
104, Citizen Kane,8.3
105, Double Indemnity,8.3
106, M,8.3
107, Vertigo,8.3
108, Full Metal Jacket,8.2
109, Amélie,8.3
110, Heat,8.3
111, Up,8.3
112, A Clockwork Orange,8.3
113, To Kill a Mockingbird,8.3
114, A Separation,8.3
115, The Sting,8.3
116, Die Hard,8.2
117, Indiana Jones and the Last Crusade,8.2
118, Like Stars on Earth,8.3
119, Metropolis,8.3
